,prompt,text,response,model,temperature,seed,true_value
0,"Визнач, чи вираз у дужках [PET_BOUNDARY] у тексті вжито як евфемізм чи ні. Не включай у відповідь вступ або висновок. Лише вкажи число 1, якщо це евфемізм, або 0, якщо ні. Ось текст:На місці [PET_BOUNDARY]прильоту[PET_BOUNDARY] працюють відповідні служби.",На місці [PET_BOUNDARY]прильоту[PET_BOUNDARY] працюють відповідні служби.,0,gpt-5-nano,1,2,1
1,"Визнач, чи вираз у дужках [PET_BOUNDARY] у тексті вжито як евфемізм чи ні. Не включай у відповідь вступ або висновок. Лише вкажи число 1, якщо це евфемізм, або 0, якщо ні. Ось текст:[PET_BOUNDARY]Ціль[PET_BOUNDARY] України залишається незмінною – повна перемога над РФ.",[PET_BOUNDARY]Ціль[PET_BOUNDARY] України залишається незмінною – повна перемога над РФ.,0,gpt-5-nano,1,2,0
2,"Визнач, чи вираз у дужках [PET_BOUNDARY] у тексті вжито як евфемізм чи ні. Не включай у відповідь вступ або висновок. Лише вкажи число 1, якщо це евфемізм, або 0, якщо ні. Ось текст:Центральний символ композиції — [PET_BOUNDARY]пташка[PET_BOUNDARY], що уособлює свободу, відродження та очікування змін...","Центральний символ композиції — [PET_BOUNDARY]пташка[PET_BOUNDARY], що уособлює свободу, відродження та очікування змін...",0,gpt-5-nano,1,2,0
3,"Визнач, чи вираз у дужках [PET_BOUNDARY] у тексті вжито як евфемізм чи ні. Не включай у відповідь вступ або висновок. Лише вкажи число 1, якщо це евфемізм, або 0, якщо ні. Ось текст:результат збитих повітряних [PET_BOUNDARY]цілей[PET_BOUNDARY] щоразу дається нелегко.",результат збитих повітряних [PET_BOUNDARY]цілей[PET_BOUNDARY] щоразу дається нелегко.,0,gpt-5-nano,1,2,1
4,"Визнач, чи вираз у дужках [PET_BOUNDARY] у тексті вжито як евфемізм чи ні. Не включай у відповідь вступ або висновок. Лише вкажи число 1, якщо це евфемізм, або 0, якщо ні. Ось текст:Рекрутинг - це коли ти обираєш де і як [PET_BOUNDARY]мінусувати[PET_BOUNDARY] ворога, а тобі за це платять!","Рекрутинг - це коли ти обираєш де і як [PET_BOUNDARY]мінусувати[PET_BOUNDARY] ворога, а тобі за це платять!",1,gpt-5-nano,1,2,1
5,"Визнач, чи вираз у дужках [PET_BOUNDARY] у тексті вжито як евфемізм чи ні. Не включай у відповідь вступ або висновок. Лише вкажи число 1, якщо це евфемізм, або 0, якщо ні. Ось текст:«Вживаються заходи щодо встановлення всіх [PET_BOUNDARY]учасників схем[PET_BOUNDARY] ухилення від сплати податків», — повідомили в Офісі ДП.","«Вживаються заходи щодо встановлення всіх [PET_BOUNDARY]учасників схем[PET_BOUNDARY] ухилення від сплати податків», — повідомили в Офісі ДП.",0,gpt-5-nano,1,2,1
6,"Визнач, чи вираз у дужках [PET_BOUNDARY] у тексті вжито як евфемізм чи ні. Не включай у відповідь вступ або висновок. Лише вкажи число 1, якщо це евфемізм, або 0, якщо ні. Ось текст:Рік закінчується так, як і минав в цілому: під виття сирен і звуки [PET_BOUNDARY]прильотів[PET_BOUNDARY], зі зціпленими зубами й з молитвами за наших захисників!","Рік закінчується так, як і минав в цілому: під виття сирен і звуки [PET_BOUNDARY]прильотів[PET_BOUNDARY], зі зціпленими зубами й з молитвами за наших захисників!",0,gpt-5-nano,1,2,1
7,"Визнач, чи вираз у дужках [PET_BOUNDARY] у тексті вжито як евфемізм чи ні. Не включай у відповідь вступ або висновок. Лише вкажи число 1, якщо це евфемізм, або 0, якщо ні. Ось текст:Кожна ""[PET_BOUNDARY]пташка[PET_BOUNDARY]"" наблизить перемогу і збереже життя наших воїнів...","Кожна ""[PET_BOUNDARY]пташка[PET_BOUNDARY]"" наблизить перемогу і збереже життя наших воїнів...",0,gpt-5-nano,1,2,1
8,"Визнач, чи вираз у дужках [PET_BOUNDARY] у тексті вжито як евфемізм чи ні. Не включай у відповідь вступ або висновок. Лише вкажи число 1, якщо це евфемізм, або 0, якщо ні. Ось текст:""Скільки	[PET_BOUNDARY]дискотек[PET_BOUNDARY] проведено в Україні з 14? ""","""Скільки	[PET_BOUNDARY]дискотек[PET_BOUNDARY] проведено в Україні з 14? """,0,gpt-5-nano,1,2,0
9,"Визнач, чи вираз у дужках [PET_BOUNDARY] у тексті вжито як евфемізм чи ні. Не включай у відповідь вступ або висновок. Лише вкажи число 1, якщо це евфемізм, або 0, якщо ні. Ось текст:Бумбликевич тягнув і [PET_BOUNDARY]недоговорював[PET_BOUNDARY], аж радники від нетерплячки їли його очима.","Бумбликевич тягнув і [PET_BOUNDARY]недоговорював[PET_BOUNDARY], аж радники від нетерплячки їли його очима.",0,gpt-5-nano,1,2,0
10,"Визнач, чи вираз у дужках [PET_BOUNDARY] у тексті вжито як евфемізм чи ні. Не включай у відповідь вступ або висновок. Лише вкажи число 1, якщо це евфемізм, або 0, якщо ні. Ось текст:Майже 1000 міжнародних компаній пішли з країни. Автовиробництво впало на 75% у порівнянні з минулим роком. ""Аерофлот"" [PET_BOUNDARY]приземляє[PET_BOUNDARY] літаки, бо більше немає зайвих запчастин.","Майже 1000 міжнародних компаній пішли з країни. Автовиробництво впало на 75% у порівнянні з минулим роком. ""Аерофлот"" [PET_BOUNDARY]приземляє[PET_BOUNDARY] літаки, бо більше немає зайвих запчастин.",0,gpt-5-nano,1,2,0
11,"Визнач, чи вираз у дужках [PET_BOUNDARY] у тексті вжито як евфемізм чи ні. Не включай у відповідь вступ або висновок. Лише вкажи число 1, якщо це евфемізм, або 0, якщо ні. Ось текст:Бажаючи заробити [PET_BOUNDARY]легких грошей[PET_BOUNDARY], хмельничанка почала працювати на один з інтернет-магазинів, який ""спеціалізувався"" на незаконному продажі психотропних речовин.","Бажаючи заробити [PET_BOUNDARY]легких грошей[PET_BOUNDARY], хмельничанка почала працювати на один з інтернет-магазинів, який ""спеціалізувався"" на незаконному продажі психотропних речовин.",0,gpt-5-nano,1,2,1
12,"Визнач, чи вираз у дужках [PET_BOUNDARY] у тексті вжито як евфемізм чи ні. Не включай у відповідь вступ або висновок. Лише вкажи число 1, якщо це евфемізм, або 0, якщо ні. Ось текст:""Ми танцювали, співали, був феєрверк, була [PET_BOUNDARY]дискотека[PET_BOUNDARY]. Все, як стандартно в таких маленьких містах”""","""Ми танцювали, співали, був феєрверк, була [PET_BOUNDARY]дискотека[PET_BOUNDARY]. Все, як стандартно в таких маленьких містах”""",0,gpt-5-nano,1,2,0
13,"Визнач, чи вираз у дужках [PET_BOUNDARY] у тексті вжито як евфемізм чи ні. Не включай у відповідь вступ або висновок. Лише вкажи число 1, якщо це евфемізм, або 0, якщо ні. Ось текст:""Вітер попутний насіння [PET_BOUNDARY]бавовни[PET_BOUNDARY] несе, – так про вибухи в Криму в коментарі ведучій Вікна-новини Яні Брензей в ефірі загальнонаціонального телемарафону Єдині новини сказала Наталія Гуменюк.""","""Вітер попутний насіння [PET_BOUNDARY]бавовни[PET_BOUNDARY] несе, – так про вибухи в Криму в коментарі ведучій Вікна-новини Яні Брензей в ефірі загальнонаціонального телемарафону Єдині новини сказала Наталія Гуменюк.""",0,gpt-5-nano,1,2,1
14,"Визнач, чи вираз у дужках [PET_BOUNDARY] у тексті вжито як евфемізм чи ні. Не включай у відповідь вступ або висновок. Лише вкажи число 1, якщо це евфемізм, або 0, якщо ні. Ось текст:[PET_BOUNDARY]Відлийте[PET_BOUNDARY] 300 мл кавунового соку і процідіть через ситечко або марлю.",[PET_BOUNDARY]Відлийте[PET_BOUNDARY] 300 мл кавунового соку і процідіть через ситечко або марлю.,0,gpt-5-nano,1,2,0
