ID,Unnamed: 0,EUPH_STATUS,left-hand context (one sentence),main sentence,right-hand context (one sentence),source,PET,PET lemmatised,literal translation,non-euph equivalent,non-euph equivalent translation,category,A,J,U,W,majority label,LABEL,TEXT
2215,2214,sometimes_euph,Plus ty płacisz za wino i obiad dzisiaj.,– Pięćset w [PET_BOUNDARY]zielonych[PET_BOUNDARY] plus…,– Dwieście w niebieskich. – Jorge uśmiecha się szeroko.,KWJP,zielonych,zielone,green,dolary,dollars,money,1,1,1,X,1.0,1.0,Plus ty płacisz za wino i obiad dzisiaj. – Pięćset w [PET_BOUNDARY]zielonych[PET_BOUNDARY] plus… – Dwieście w niebieskich. – Jorge uśmiecha się szeroko.
213,212,sometimes_euph,"Tytuł zawdzięczam kanadyjskiemu teologowi i poecie, Jacques’owi Gauthierowi, autorowi m.in. „Kryzysu wieku średniego” i „Po pięćdziesiątce”.","Otóż Gauthier twierdzi, że w [PET_BOUNDARY]pewnym wiek[PET_BOUNDARY]u, po przekroczeniu „smugi cienia”, to dla mężczyzny jedyny wybór: albo modelka, albo Bóg.","Przyznam się, że teza ta raziła mnie swoim radykalizmem (jest przecież bungee, whisky i inne sporty ekstremalne – myślałem naiwnie).",KWJP,pewnym wiek,pewien wiek,certain age,starość,old age,physical appearance,X,1,1,1,1.0,1.0,"Tytuł zawdzięczam kanadyjskiemu teologowi i poecie, Jacques’owi Gauthierowi, autorowi m.in. „Kryzysu wieku średniego” i „Po pięćdziesiątce”. Otóż Gauthier twierdzi, że w [PET_BOUNDARY]pewnym wiek[PET_BOUNDARY]u, po przekroczeniu „smugi cienia”, to dla mężczyzny jedyny wybór: albo modelka, albo Bóg. Przyznam się, że teza ta raziła mnie swoim radykalizmem (jest przecież bungee, whisky i inne sporty ekstremalne – myślałem naiwnie)."
1246,1245,sometimes_euph,"Towarzyszą mu zwykle dwa psy i ciemnoskóry służący, cień swego pana.","Brak mu tylko konia, którego miejsce zajął sportowy jaguar, a także żona, bez ogródek przyrównana do klaczy bitej batem po [PET_BOUNDARY]zadzie[PET_BOUNDARY].","Okazuje się jednak, że nowy sezon polowań na kaczki nie przyniesie już powtórki rytuału, bo „infant”, jego psy, służący i żona w tajemniczy sposób zniknęli.",KWJP,zadzie,zad,rump,-,-,body parts,0,X,0,0,0.0,0.0,"Towarzyszą mu zwykle dwa psy i ciemnoskóry służący, cień swego pana. Brak mu tylko konia, którego miejsce zajął sportowy jaguar, a także żona, bez ogródek przyrównana do klaczy bitej batem po [PET_BOUNDARY]zadzie[PET_BOUNDARY]. Okazuje się jednak, że nowy sezon polowań na kaczki nie przyniesie już powtórki rytuału, bo „infant”, jego psy, służący i żona w tajemniczy sposób zniknęli."
1371,1370,sometimes_euph,Nie było śladów krwi.,"Ze wstępnych oględzin wynika, że z domu też nic nie [PET_BOUNDARY]zginęło[PET_BOUNDARY], nie było śladów włamania do willi – powiedział Bogusław Rzeszutko, rzecznik policji w Będzinie.",-,KWJP,zginęło,zginąć,be lost,-,-,death,X,0,0,0,0.0,0.0,"Nie było śladów krwi. Ze wstępnych oględzin wynika, że z domu też nic nie [PET_BOUNDARY]zginęło[PET_BOUNDARY], nie było śladów włamania do willi – powiedział Bogusław Rzeszutko, rzecznik policji w Będzinie. -"
1956,1955,sometimes_euph,"Na podłodze, gdzie bawią się dzieci, przewidziano dywan, a w bezpośrednim sąsiedztwie sali pomieszczenia magazynowe służące do przechowywania pomocy dydaktycznych lub leżaków dla najmłodszych.","Przy salach organizowane zostaną sanitariaty dla dzieci – przewidziano dwa [PET_BOUNDARY]ustępy[PET_BOUNDARY], kabinę natryskową, trzy umywalki zainstalowane na wysokości dostosowanej do potrzeb dzieci oraz półki i wieszczki na ręczniczki.","Dla pracowników przewidziano pomieszczenie socjalne wyposażone w umywalkę, zlewozmywak, stolik jadalniany z krzesłami, chłodziarkę i zestaw szafek kuchennych.",KWJP,ustępy,ustęp,section/paragraph,ubikacja,toilet,physiology,1,1,X,1,1.0,1.0,"Na podłodze, gdzie bawią się dzieci, przewidziano dywan, a w bezpośrednim sąsiedztwie sali pomieszczenia magazynowe służące do przechowywania pomocy dydaktycznych lub leżaków dla najmłodszych. Przy salach organizowane zostaną sanitariaty dla dzieci – przewidziano dwa [PET_BOUNDARY]ustępy[PET_BOUNDARY], kabinę natryskową, trzy umywalki zainstalowane na wysokości dostosowanej do potrzeb dzieci oraz półki i wieszczki na ręczniczki. Dla pracowników przewidziano pomieszczenie socjalne wyposażone w umywalkę, zlewozmywak, stolik jadalniany z krzesłami, chłodziarkę i zestaw szafek kuchennych."
1101,1100,sometimes_euph,"Czy to znaczy, że mamy rozumieć antyszczepionkowców i innych miłośników konspiracji?","Że zamiast uważać ich za [PET_BOUNDARY]ciołków[PET_BOUNDARY], mamy ich usprawiedliwiać, bo natura, bo ewolucja?",Nie do końca.,KWJP,ciołków,ciołek,bull calf,-,-,vice,1,X,1,1,1.0,1.0,"Czy to znaczy, że mamy rozumieć antyszczepionkowców i innych miłośników konspiracji? Że zamiast uważać ich za [PET_BOUNDARY]ciołków[PET_BOUNDARY], mamy ich usprawiedliwiać, bo natura, bo ewolucja? Nie do końca."
2214,2213,sometimes_euph,"– Szukamy nietuzinkowych artystów, których da się zaszczepić hiphopowej publiczności – recytuje credo firmy MaxFloRec jej właściciel Sebastian Salbert, znany jako Rahim.","– Nie bierzemy szmiry dla [PET_BOUNDARY]kapuchy[PET_BOUNDARY], artyści, którzy powierzają nam swoją muzykę, doceniają to, że jesteśmy uczciwi i można na nas polegać.","Pozyskujemy nowych raperów nie dlatego, że wygrywamy wysokością budżetów, tylko zdrową atmosferą.",KWJP,kapuchy,kapucha,cabbage,pieniądze,money,money,1,1,1,X,1.0,1.0,"– Szukamy nietuzinkowych artystów, których da się zaszczepić hiphopowej publiczności – recytuje credo firmy MaxFloRec jej właściciel Sebastian Salbert, znany jako Rahim. – Nie bierzemy szmiry dla [PET_BOUNDARY]kapuchy[PET_BOUNDARY], artyści, którzy powierzają nam swoją muzykę, doceniają to, że jesteśmy uczciwi i można na nas polegać. Pozyskujemy nowych raperów nie dlatego, że wygrywamy wysokością budżetów, tylko zdrową atmosferą."
1777,1776,sometimes_euph,Propozycja Mola byłaby dla nich oczywistym nietaktem.,"Na szczęśliwej wyspie oferowanie komuś seksu bez gumy byłoby naruszeniem zasad dobrego wychowania, czymś na kształt głośnego [PET_BOUNDARY]puszczania gazów[PET_BOUNDARY] w towarzystwie.","Gdyby już nawet, wskutek serii niefortunnych splotów okoliczności, doszło na takiej szczęśliwej wyspie do sprawy przypominającej aferę Simona Mola, media pisałyby o niej jednak zupełnie inaczej.",KWJP,puszczania gazów,puszczać gazy,to release gases,pierdzieć,to fart,physiology,1,1,X,1,1.0,1.0,"Propozycja Mola byłaby dla nich oczywistym nietaktem. Na szczęśliwej wyspie oferowanie komuś seksu bez gumy byłoby naruszeniem zasad dobrego wychowania, czymś na kształt głośnego [PET_BOUNDARY]puszczania gazów[PET_BOUNDARY] w towarzystwie. Gdyby już nawet, wskutek serii niefortunnych splotów okoliczności, doszło na takiej szczęśliwej wyspie do sprawy przypominającej aferę Simona Mola, media pisałyby o niej jednak zupełnie inaczej."
1092,1091,sometimes_euph,-,"(...) jego brzuchu rosły warstwy zapomnianych historii, sprawy do załatwienia, rzeczy do obejrzenia i dotknięcia: guziki, rozsypane sznury paciorków, bilety na pamiątkę, puste zapalniczki, [PET_BOUNDARY]grosze[PET_BOUNDARY], kolczyki bez sztyftów, zielone banknoty z generałem, flakoniki po olejkach, pół obcinacza do paznokci ze złotą rybką zatopioną w zielonej emalii, tekturka z zatartym arabskim (...).",-,KWJP,grosze,grosz,penny,-,-,money,0,0,0,0,0.0,0.0,"- (...) jego brzuchu rosły warstwy zapomnianych historii, sprawy do załatwienia, rzeczy do obejrzenia i dotknięcia: guziki, rozsypane sznury paciorków, bilety na pamiątkę, puste zapalniczki, [PET_BOUNDARY]grosze[PET_BOUNDARY], kolczyki bez sztyftów, zielone banknoty z generałem, flakoniki po olejkach, pół obcinacza do paznokci ze złotą rybką zatopioną w zielonej emalii, tekturka z zatartym arabskim (...). -"
2178,2177,sometimes_euph,"Od czasu do czasu zdarza się nam również wyciągnąć miecz i zetrzeć się z przeciwnikiem, ale i tu całość sprowadza się do dość szybkiej reakcji na jego poczynania i kliknięcia tarczy lub miecza w odpowiednim momencie.","Zdrowie można uzupełnić, wcinając znalezione po drodze grzybki „halunki”, a jeżeli zdarzy nam się [PET_BOUNDARY]wyciągnąć nogi[PET_BOUNDARY], gra wróci do checkpointu zapisanego kilka lub kilkanaście sekund wcześniej.","Gdzie Grammy, do diabła?!",KWJP,wyciągnąć nogi,wyciągnąć nogi,stretch one's legs,umrzeć,to die,death,X,1,1,1,1.0,1.0,"Od czasu do czasu zdarza się nam również wyciągnąć miecz i zetrzeć się z przeciwnikiem, ale i tu całość sprowadza się do dość szybkiej reakcji na jego poczynania i kliknięcia tarczy lub miecza w odpowiednim momencie. Zdrowie można uzupełnić, wcinając znalezione po drodze grzybki „halunki”, a jeżeli zdarzy nam się [PET_BOUNDARY]wyciągnąć nogi[PET_BOUNDARY], gra wróci do checkpointu zapisanego kilka lub kilkanaście sekund wcześniej. Gdzie Grammy, do diabła?!"
