,prompt,text,response,model,temperature,seed,true_value
0,"Metinde [PET_BOUNDARY] ayraçları arasında bulunan kelimelerin/ifadelerin örtmece (dolaylı anlatım) olarak kullanılıp kullanılmadığını sınıflandırır mısın? Vereceğin cevaba giriş veya sonuç cümlesi ekleme. Eğer ayraçlar arasında bulunan kelime veya ifade örtmece/dolaylı anlatim ise 1, değilse 0 olarak işaretle.

İşte bazı metinler ve bunların karşılık gelen çıktıları:
Text: 'olmak üzere pek çok psikopatolojiye yatkınlık göstermesi demektir. Cenaze töreni, kaybedileni uğurladığımız o [PET_BOUNDARY]son yolculuk[PET_BOUNDARY], yaslarımızı yaşayabilmek, birbirimizin acılarını hissedebilmek için açılan güvenli bir alan, kollektif', output: 1.
Text: 'Ancak, [PET_BOUNDARY]aybaşı[PET_BOUNDARY] kanamaları ve hamilelik döneminde kullanılmaz.', output: 1.
Text: 'varmamız gerekirken 11'de terminale ancak varacağız. Ne konfor var ne saygı, firma 2010 yolunda kalmış gibi ilk ve [PET_BOUNDARY]son yolculuk[PET_BOUNDARY] yapışım olacak. ""Teşekkürler"" Yeni Sivas Turizm bugüne kadar marka profili oluşturmadı. Total Son dakika total', output: 0.
Text: 'olmuyor ama sosyal sorunlara yol açıyor. "" 2021 Şubat Ay'ı Evde Bakım Maaşı Yatan İller Listesi Yine ayın 1 i ve yine [PET_BOUNDARY]aybaşı[PET_BOUNDARY] olduğundan mütevellit "" Kayıt Bulunamadı "" ibaresi belirmiştir edevlette ama muhtemelen birkaç güne düzelir ok ', output: 0.

İşte metin: '
""Ben  de dahil herkes, Ali Kırca bu hareketiyle [PET_BOUNDARY]iyi saatte olsunlar[PET_BOUNDARY]'dan eksi  bir puan almıştır diye düşünüyorduk.""'","""Ben  de dahil herkes, Ali Kırca bu hareketiyle [PET_BOUNDARY]iyi saatte olsunlar[PET_BOUNDARY]'dan eksi  bir puan almıştır diye düşünüyorduk.""",0,gpt-5-nano,1,1,0
1,"Metinde [PET_BOUNDARY] ayraçları arasında bulunan kelimelerin/ifadelerin örtmece (dolaylı anlatım) olarak kullanılıp kullanılmadığını sınıflandırır mısın? Vereceğin cevaba giriş veya sonuç cümlesi ekleme. Eğer ayraçlar arasında bulunan kelime veya ifade örtmece/dolaylı anlatim ise 1, değilse 0 olarak işaretle.

İşte bazı metinler ve bunların karşılık gelen çıktıları:
Text: 'olmak üzere pek çok psikopatolojiye yatkınlık göstermesi demektir. Cenaze töreni, kaybedileni uğurladığımız o [PET_BOUNDARY]son yolculuk[PET_BOUNDARY], yaslarımızı yaşayabilmek, birbirimizin acılarını hissedebilmek için açılan güvenli bir alan, kollektif', output: 1.
Text: 'Ancak, [PET_BOUNDARY]aybaşı[PET_BOUNDARY] kanamaları ve hamilelik döneminde kullanılmaz.', output: 1.
Text: 'varmamız gerekirken 11'de terminale ancak varacağız. Ne konfor var ne saygı, firma 2010 yolunda kalmış gibi ilk ve [PET_BOUNDARY]son yolculuk[PET_BOUNDARY] yapışım olacak. ""Teşekkürler"" Yeni Sivas Turizm bugüne kadar marka profili oluşturmadı. Total Son dakika total', output: 0.
Text: 'olmuyor ama sosyal sorunlara yol açıyor. "" 2021 Şubat Ay'ı Evde Bakım Maaşı Yatan İller Listesi Yine ayın 1 i ve yine [PET_BOUNDARY]aybaşı[PET_BOUNDARY] olduğundan mütevellit "" Kayıt Bulunamadı "" ibaresi belirmiştir edevlette ama muhtemelen birkaç güne düzelir ok ', output: 0.

İşte metin: '
denen takımın iki turnuvada ittire kaktıra çeyrek final görüp elenmesi- pek de ortada olmadığını gösterdi. 85te de [PET_BOUNDARY]fişi çeken[PET_BOUNDARY] Vokes oldu, düzgün bir kafa vuruşuyla Galler'in yolculuğuna devam edeceğini ilan etti. Galler yarı finalde Portekiz'","denen takımın iki turnuvada ittire kaktıra çeyrek final görüp elenmesi- pek de ortada olmadığını gösterdi. 85te de [PET_BOUNDARY]fişi çeken[PET_BOUNDARY] Vokes oldu, düzgün bir kafa vuruşuyla Galler'in yolculuğuna devam edeceğini ilan etti. Galler yarı finalde Portekiz",0,gpt-5-nano,1,1,0
2,"Metinde [PET_BOUNDARY] ayraçları arasında bulunan kelimelerin/ifadelerin örtmece (dolaylı anlatım) olarak kullanılıp kullanılmadığını sınıflandırır mısın? Vereceğin cevaba giriş veya sonuç cümlesi ekleme. Eğer ayraçlar arasında bulunan kelime veya ifade örtmece/dolaylı anlatim ise 1, değilse 0 olarak işaretle.

İşte bazı metinler ve bunların karşılık gelen çıktıları:
Text: 'olmak üzere pek çok psikopatolojiye yatkınlık göstermesi demektir. Cenaze töreni, kaybedileni uğurladığımız o [PET_BOUNDARY]son yolculuk[PET_BOUNDARY], yaslarımızı yaşayabilmek, birbirimizin acılarını hissedebilmek için açılan güvenli bir alan, kollektif', output: 1.
Text: 'Ancak, [PET_BOUNDARY]aybaşı[PET_BOUNDARY] kanamaları ve hamilelik döneminde kullanılmaz.', output: 1.
Text: 'varmamız gerekirken 11'de terminale ancak varacağız. Ne konfor var ne saygı, firma 2010 yolunda kalmış gibi ilk ve [PET_BOUNDARY]son yolculuk[PET_BOUNDARY] yapışım olacak. ""Teşekkürler"" Yeni Sivas Turizm bugüne kadar marka profili oluşturmadı. Total Son dakika total', output: 0.
Text: 'olmuyor ama sosyal sorunlara yol açıyor. "" 2021 Şubat Ay'ı Evde Bakım Maaşı Yatan İller Listesi Yine ayın 1 i ve yine [PET_BOUNDARY]aybaşı[PET_BOUNDARY] olduğundan mütevellit "" Kayıt Bulunamadı "" ibaresi belirmiştir edevlette ama muhtemelen birkaç güne düzelir ok ', output: 0.

İşte metin: '
evlenmiş olduğunu görür. artık yıllarca cephelerde yaşadığı hoyrat hayattan mı sevdasının acısından mı bilinmez [PET_BOUNDARY]ince hastalığa[PET_BOUNDARY] tutulur. İstanbul gureba hastanesinde tedavi görür maraşa geri döner ama hastalığına çare onmaz. yine bir kez'",evlenmiş olduğunu görür. artık yıllarca cephelerde yaşadığı hoyrat hayattan mı sevdasının acısından mı bilinmez [PET_BOUNDARY]ince hastalığa[PET_BOUNDARY] tutulur. İstanbul gureba hastanesinde tedavi görür maraşa geri döner ama hastalığına çare onmaz. yine bir kez,0,gpt-5-nano,1,1,1
3,"Metinde [PET_BOUNDARY] ayraçları arasında bulunan kelimelerin/ifadelerin örtmece (dolaylı anlatım) olarak kullanılıp kullanılmadığını sınıflandırır mısın? Vereceğin cevaba giriş veya sonuç cümlesi ekleme. Eğer ayraçlar arasında bulunan kelime veya ifade örtmece/dolaylı anlatim ise 1, değilse 0 olarak işaretle.

İşte bazı metinler ve bunların karşılık gelen çıktıları:
Text: 'olmak üzere pek çok psikopatolojiye yatkınlık göstermesi demektir. Cenaze töreni, kaybedileni uğurladığımız o [PET_BOUNDARY]son yolculuk[PET_BOUNDARY], yaslarımızı yaşayabilmek, birbirimizin acılarını hissedebilmek için açılan güvenli bir alan, kollektif', output: 1.
Text: 'Ancak, [PET_BOUNDARY]aybaşı[PET_BOUNDARY] kanamaları ve hamilelik döneminde kullanılmaz.', output: 1.
Text: 'varmamız gerekirken 11'de terminale ancak varacağız. Ne konfor var ne saygı, firma 2010 yolunda kalmış gibi ilk ve [PET_BOUNDARY]son yolculuk[PET_BOUNDARY] yapışım olacak. ""Teşekkürler"" Yeni Sivas Turizm bugüne kadar marka profili oluşturmadı. Total Son dakika total', output: 0.
Text: 'olmuyor ama sosyal sorunlara yol açıyor. "" 2021 Şubat Ay'ı Evde Bakım Maaşı Yatan İller Listesi Yine ayın 1 i ve yine [PET_BOUNDARY]aybaşı[PET_BOUNDARY] olduğundan mütevellit "" Kayıt Bulunamadı "" ibaresi belirmiştir edevlette ama muhtemelen birkaç güne düzelir ok ', output: 0.

İşte metin: '
114461        Bebek [PET_BOUNDARY]bekleyen[PET_BOUNDARY] kadınların hastane çantalarına koydukları malzemeler, yaşadıkları ülkenin sosyo-ekonomik seviyesine, misal, hastanelerde temiz su olup olmadığı gibi kritik noktalar hakkında da ipucu veriyor.'","114461        Bebek [PET_BOUNDARY]bekleyen[PET_BOUNDARY] kadınların hastane çantalarına koydukları malzemeler, yaşadıkları ülkenin sosyo-ekonomik seviyesine, misal, hastanelerde temiz su olup olmadığı gibi kritik noktalar hakkında da ipucu veriyor.",0,gpt-5-nano,1,1,1
4,"Metinde [PET_BOUNDARY] ayraçları arasında bulunan kelimelerin/ifadelerin örtmece (dolaylı anlatım) olarak kullanılıp kullanılmadığını sınıflandırır mısın? Vereceğin cevaba giriş veya sonuç cümlesi ekleme. Eğer ayraçlar arasında bulunan kelime veya ifade örtmece/dolaylı anlatim ise 1, değilse 0 olarak işaretle.

İşte bazı metinler ve bunların karşılık gelen çıktıları:
Text: 'olmak üzere pek çok psikopatolojiye yatkınlık göstermesi demektir. Cenaze töreni, kaybedileni uğurladığımız o [PET_BOUNDARY]son yolculuk[PET_BOUNDARY], yaslarımızı yaşayabilmek, birbirimizin acılarını hissedebilmek için açılan güvenli bir alan, kollektif', output: 1.
Text: 'Ancak, [PET_BOUNDARY]aybaşı[PET_BOUNDARY] kanamaları ve hamilelik döneminde kullanılmaz.', output: 1.
Text: 'varmamız gerekirken 11'de terminale ancak varacağız. Ne konfor var ne saygı, firma 2010 yolunda kalmış gibi ilk ve [PET_BOUNDARY]son yolculuk[PET_BOUNDARY] yapışım olacak. ""Teşekkürler"" Yeni Sivas Turizm bugüne kadar marka profili oluşturmadı. Total Son dakika total', output: 0.
Text: 'olmuyor ama sosyal sorunlara yol açıyor. "" 2021 Şubat Ay'ı Evde Bakım Maaşı Yatan İller Listesi Yine ayın 1 i ve yine [PET_BOUNDARY]aybaşı[PET_BOUNDARY] olduğundan mütevellit "" Kayıt Bulunamadı "" ibaresi belirmiştir edevlette ama muhtemelen birkaç güne düzelir ok ', output: 0.

İşte metin: '
ise gebe kalma ihtimalinin tedricen yüzde yüze kadar yükseldiği günleri göstermektedir. Çocuk yapmamak isteyenler [PET_BOUNDARY]aybaşı[PET_BOUNDARY] oldukları günün karşısında görülen iki tarih arasında cinsi temasta bulunmamalıdırlar. Bunun için yatak'",ise gebe kalma ihtimalinin tedricen yüzde yüze kadar yükseldiği günleri göstermektedir. Çocuk yapmamak isteyenler [PET_BOUNDARY]aybaşı[PET_BOUNDARY] oldukları günün karşısında görülen iki tarih arasında cinsi temasta bulunmamalıdırlar. Bunun için yatak,0,gpt-5-nano,1,1,1
5,"Metinde [PET_BOUNDARY] ayraçları arasında bulunan kelimelerin/ifadelerin örtmece (dolaylı anlatım) olarak kullanılıp kullanılmadığını sınıflandırır mısın? Vereceğin cevaba giriş veya sonuç cümlesi ekleme. Eğer ayraçlar arasında bulunan kelime veya ifade örtmece/dolaylı anlatim ise 1, değilse 0 olarak işaretle.

İşte bazı metinler ve bunların karşılık gelen çıktıları:
Text: 'olmak üzere pek çok psikopatolojiye yatkınlık göstermesi demektir. Cenaze töreni, kaybedileni uğurladığımız o [PET_BOUNDARY]son yolculuk[PET_BOUNDARY], yaslarımızı yaşayabilmek, birbirimizin acılarını hissedebilmek için açılan güvenli bir alan, kollektif', output: 1.
Text: 'Ancak, [PET_BOUNDARY]aybaşı[PET_BOUNDARY] kanamaları ve hamilelik döneminde kullanılmaz.', output: 1.
Text: 'varmamız gerekirken 11'de terminale ancak varacağız. Ne konfor var ne saygı, firma 2010 yolunda kalmış gibi ilk ve [PET_BOUNDARY]son yolculuk[PET_BOUNDARY] yapışım olacak. ""Teşekkürler"" Yeni Sivas Turizm bugüne kadar marka profili oluşturmadı. Total Son dakika total', output: 0.
Text: 'olmuyor ama sosyal sorunlara yol açıyor. "" 2021 Şubat Ay'ı Evde Bakım Maaşı Yatan İller Listesi Yine ayın 1 i ve yine [PET_BOUNDARY]aybaşı[PET_BOUNDARY] olduğundan mütevellit "" Kayıt Bulunamadı "" ibaresi belirmiştir edevlette ama muhtemelen birkaç güne düzelir ok ', output: 0.

İşte metin: '
Bu parayla [PET_BOUNDARY]aybaşına[PET_BOUNDARY] kadar bir ev nasıl geçindirilir ?'",Bu parayla [PET_BOUNDARY]aybaşına[PET_BOUNDARY] kadar bir ev nasıl geçindirilir ?,0,gpt-5-nano,1,1,0
6,"Metinde [PET_BOUNDARY] ayraçları arasında bulunan kelimelerin/ifadelerin örtmece (dolaylı anlatım) olarak kullanılıp kullanılmadığını sınıflandırır mısın? Vereceğin cevaba giriş veya sonuç cümlesi ekleme. Eğer ayraçlar arasında bulunan kelime veya ifade örtmece/dolaylı anlatim ise 1, değilse 0 olarak işaretle.

İşte bazı metinler ve bunların karşılık gelen çıktıları:
Text: 'olmak üzere pek çok psikopatolojiye yatkınlık göstermesi demektir. Cenaze töreni, kaybedileni uğurladığımız o [PET_BOUNDARY]son yolculuk[PET_BOUNDARY], yaslarımızı yaşayabilmek, birbirimizin acılarını hissedebilmek için açılan güvenli bir alan, kollektif', output: 1.
Text: 'Ancak, [PET_BOUNDARY]aybaşı[PET_BOUNDARY] kanamaları ve hamilelik döneminde kullanılmaz.', output: 1.
Text: 'varmamız gerekirken 11'de terminale ancak varacağız. Ne konfor var ne saygı, firma 2010 yolunda kalmış gibi ilk ve [PET_BOUNDARY]son yolculuk[PET_BOUNDARY] yapışım olacak. ""Teşekkürler"" Yeni Sivas Turizm bugüne kadar marka profili oluşturmadı. Total Son dakika total', output: 0.
Text: 'olmuyor ama sosyal sorunlara yol açıyor. "" 2021 Şubat Ay'ı Evde Bakım Maaşı Yatan İller Listesi Yine ayın 1 i ve yine [PET_BOUNDARY]aybaşı[PET_BOUNDARY] olduğundan mütevellit "" Kayıt Bulunamadı "" ibaresi belirmiştir edevlette ama muhtemelen birkaç güne düzelir ok ', output: 0.

İşte metin: '
Öztürk Yılmaz'ın Bursa'da Merkez Osmangazi İlçesi Hüdavendigar Mahallesi Hatıra Sokak'ta oturan ve gelişmeleri buradan takip eden Öztürk Yılmaz'ın anne ve babasının, 3 gün önce evden ayrıldığı belirtildi. Komşuları Sinan Demir, Öztürk Yılmaz'ın annesi Ana ve babası Şerafettin Yılmaz'ın, ""Bir akrabamızı ziyarete gidiyoruz"" diyerek evden ayrıldığını anlatırken, ""Bizler de, 'Geçmiş olsun' demek için Başkonsolosumuzun Bursa'ya geleceği günü sabırsızlıkla [PET_BOUNDARY]bekliyoruz[PET_BOUNDARY]"" dedi.'","Öztürk Yılmaz'ın Bursa'da Merkez Osmangazi İlçesi Hüdavendigar Mahallesi Hatıra Sokak'ta oturan ve gelişmeleri buradan takip eden Öztürk Yılmaz'ın anne ve babasının, 3 gün önce evden ayrıldığı belirtildi. Komşuları Sinan Demir, Öztürk Yılmaz'ın annesi Ana ve babası Şerafettin Yılmaz'ın, ""Bir akrabamızı ziyarete gidiyoruz"" diyerek evden ayrıldığını anlatırken, ""Bizler de, 'Geçmiş olsun' demek için Başkonsolosumuzun Bursa'ya geleceği günü sabırsızlıkla [PET_BOUNDARY]bekliyoruz[PET_BOUNDARY]"" dedi.",0,gpt-5-nano,1,1,0
7,"Metinde [PET_BOUNDARY] ayraçları arasında bulunan kelimelerin/ifadelerin örtmece (dolaylı anlatım) olarak kullanılıp kullanılmadığını sınıflandırır mısın? Vereceğin cevaba giriş veya sonuç cümlesi ekleme. Eğer ayraçlar arasında bulunan kelime veya ifade örtmece/dolaylı anlatim ise 1, değilse 0 olarak işaretle.

İşte bazı metinler ve bunların karşılık gelen çıktıları:
Text: 'olmak üzere pek çok psikopatolojiye yatkınlık göstermesi demektir. Cenaze töreni, kaybedileni uğurladığımız o [PET_BOUNDARY]son yolculuk[PET_BOUNDARY], yaslarımızı yaşayabilmek, birbirimizin acılarını hissedebilmek için açılan güvenli bir alan, kollektif', output: 1.
Text: 'Ancak, [PET_BOUNDARY]aybaşı[PET_BOUNDARY] kanamaları ve hamilelik döneminde kullanılmaz.', output: 1.
Text: 'varmamız gerekirken 11'de terminale ancak varacağız. Ne konfor var ne saygı, firma 2010 yolunda kalmış gibi ilk ve [PET_BOUNDARY]son yolculuk[PET_BOUNDARY] yapışım olacak. ""Teşekkürler"" Yeni Sivas Turizm bugüne kadar marka profili oluşturmadı. Total Son dakika total', output: 0.
Text: 'olmuyor ama sosyal sorunlara yol açıyor. "" 2021 Şubat Ay'ı Evde Bakım Maaşı Yatan İller Listesi Yine ayın 1 i ve yine [PET_BOUNDARY]aybaşı[PET_BOUNDARY] olduğundan mütevellit "" Kayıt Bulunamadı "" ibaresi belirmiştir edevlette ama muhtemelen birkaç güne düzelir ok ', output: 0.

İşte metin: '
Haberin diğer fotoğrafları için tıklayın Sırp pop şarkıcısı ve dansçı Milica Pavlovic, yeni albümünün tanıtımı için 'Ami G' adlı televizyon programına katıldı. Pavlovic, giydiği derin [PET_BOUNDARY]göğüs[PET_BOUNDARY] dekolteli elbiseyle dikkatleri üzerine çekti. Programa damgasını vuran 25 yaşındaki güzel, mavi renkli dekolte elbisesiyle çekilen bir fotoğrafı instagram hesabından takipçileriyle paylaştı.'","Haberin diğer fotoğrafları için tıklayın Sırp pop şarkıcısı ve dansçı Milica Pavlovic, yeni albümünün tanıtımı için 'Ami G' adlı televizyon programına katıldı. Pavlovic, giydiği derin [PET_BOUNDARY]göğüs[PET_BOUNDARY] dekolteli elbiseyle dikkatleri üzerine çekti. Programa damgasını vuran 25 yaşındaki güzel, mavi renkli dekolte elbisesiyle çekilen bir fotoğrafı instagram hesabından takipçileriyle paylaştı.",0,gpt-5-nano,1,1,1
8,"Metinde [PET_BOUNDARY] ayraçları arasında bulunan kelimelerin/ifadelerin örtmece (dolaylı anlatım) olarak kullanılıp kullanılmadığını sınıflandırır mısın? Vereceğin cevaba giriş veya sonuç cümlesi ekleme. Eğer ayraçlar arasında bulunan kelime veya ifade örtmece/dolaylı anlatim ise 1, değilse 0 olarak işaretle.

İşte bazı metinler ve bunların karşılık gelen çıktıları:
Text: 'olmak üzere pek çok psikopatolojiye yatkınlık göstermesi demektir. Cenaze töreni, kaybedileni uğurladığımız o [PET_BOUNDARY]son yolculuk[PET_BOUNDARY], yaslarımızı yaşayabilmek, birbirimizin acılarını hissedebilmek için açılan güvenli bir alan, kollektif', output: 1.
Text: 'Ancak, [PET_BOUNDARY]aybaşı[PET_BOUNDARY] kanamaları ve hamilelik döneminde kullanılmaz.', output: 1.
Text: 'varmamız gerekirken 11'de terminale ancak varacağız. Ne konfor var ne saygı, firma 2010 yolunda kalmış gibi ilk ve [PET_BOUNDARY]son yolculuk[PET_BOUNDARY] yapışım olacak. ""Teşekkürler"" Yeni Sivas Turizm bugüne kadar marka profili oluşturmadı. Total Son dakika total', output: 0.
Text: 'olmuyor ama sosyal sorunlara yol açıyor. "" 2021 Şubat Ay'ı Evde Bakım Maaşı Yatan İller Listesi Yine ayın 1 i ve yine [PET_BOUNDARY]aybaşı[PET_BOUNDARY] olduğundan mütevellit "" Kayıt Bulunamadı "" ibaresi belirmiştir edevlette ama muhtemelen birkaç güne düzelir ok ', output: 0.

İşte metin: '
,seller,depremler,din değiştirenler,beklenmeyen felaketler,insanlardaki ani ve anlamsız ruh değişiklikleri, [PET_BOUNDARY]üç harflilerin[PET_BOUNDARY] artık insanları rahat kullanır hale gelmesi bunlar başlı başına zaten birer kaos değilmidir zaten. ---------------'",",seller,depremler,din değiştirenler,beklenmeyen felaketler,insanlardaki ani ve anlamsız ruh değişiklikleri, [PET_BOUNDARY]üç harflilerin[PET_BOUNDARY] artık insanları rahat kullanır hale gelmesi bunlar başlı başına zaten birer kaos değilmidir zaten. ---------------",1,gpt-5-nano,1,1,1
9,"Metinde [PET_BOUNDARY] ayraçları arasında bulunan kelimelerin/ifadelerin örtmece (dolaylı anlatım) olarak kullanılıp kullanılmadığını sınıflandırır mısın? Vereceğin cevaba giriş veya sonuç cümlesi ekleme. Eğer ayraçlar arasında bulunan kelime veya ifade örtmece/dolaylı anlatim ise 1, değilse 0 olarak işaretle.

İşte bazı metinler ve bunların karşılık gelen çıktıları:
Text: 'olmak üzere pek çok psikopatolojiye yatkınlık göstermesi demektir. Cenaze töreni, kaybedileni uğurladığımız o [PET_BOUNDARY]son yolculuk[PET_BOUNDARY], yaslarımızı yaşayabilmek, birbirimizin acılarını hissedebilmek için açılan güvenli bir alan, kollektif', output: 1.
Text: 'Ancak, [PET_BOUNDARY]aybaşı[PET_BOUNDARY] kanamaları ve hamilelik döneminde kullanılmaz.', output: 1.
Text: 'varmamız gerekirken 11'de terminale ancak varacağız. Ne konfor var ne saygı, firma 2010 yolunda kalmış gibi ilk ve [PET_BOUNDARY]son yolculuk[PET_BOUNDARY] yapışım olacak. ""Teşekkürler"" Yeni Sivas Turizm bugüne kadar marka profili oluşturmadı. Total Son dakika total', output: 0.
Text: 'olmuyor ama sosyal sorunlara yol açıyor. "" 2021 Şubat Ay'ı Evde Bakım Maaşı Yatan İller Listesi Yine ayın 1 i ve yine [PET_BOUNDARY]aybaşı[PET_BOUNDARY] olduğundan mütevellit "" Kayıt Bulunamadı "" ibaresi belirmiştir edevlette ama muhtemelen birkaç güne düzelir ok ', output: 0.

İşte metin: '
kadınların en ince ayrıntılarına adım atarak öğrenmeli... Kaleyi içten fethetmeli. Mesela bir çok ilişkide [PET_BOUNDARY]muayyen gün[PET_BOUNDARY] stresi yaşanır. Kavgaların doruğa çıktığı an bu günlerdir. Bence kapkara günler bu günler... İnanın ben bu günlerde'",kadınların en ince ayrıntılarına adım atarak öğrenmeli... Kaleyi içten fethetmeli. Mesela bir çok ilişkide [PET_BOUNDARY]muayyen gün[PET_BOUNDARY] stresi yaşanır. Kavgaların doruğa çıktığı an bu günlerdir. Bence kapkara günler bu günler... İnanın ben bu günlerde,1,gpt-5-nano,1,1,1
