,ID,TEXT,PET,LABEL,EUPH_STATUS
1098,1098,目前，晓彤的两只眼角膜、两个肾脏、肝脏成功移植给5位病人，让他们获得新生。 眼角膜、肾脏、肝脏均成功移植女儿的[PET_BOUNDARY]离世[PET_BOUNDARY]对妈妈陈连兴来说太突然了。 5月22日下午，一连串急速的铃声把正在休息的陈连兴吓了一跳，电话是女儿所在学校的老师打来的。,离世,1,always_euph
2545,2545,不符合规范的车辆一律不得上路。 所有渣土车还要安装北斗定位追踪系统，与武汉市渣土车智能监控系统无缝对接，它能锁定行驶路线，防止渣土随意倾倒，违规[PET_BOUNDARY]超重[PET_BOUNDARY]车辆无法启动，超速行驶将自动熄火。 超重无法启动可以理解，超速自动熄火有多么危险相信卡友们都知道！,超重,0,sometimes_euph
12,12,2.燕麦 不仅能给身体饱足感，提供营养，还含有丰富的能溶解脂肪的纤维，有效地帮助身体燃烧脂肪，被叫做燃脂斗士。 3.苹果 苹果含有独有的苹果酸，不仅可以加速代谢及减少[PET_BOUNDARY]下身[PET_BOUNDARY]的脂肪，而且含有的钙量比其他水果丰富，可以减少令人下身水肿的盐分。 同时苹果本身热量很低，但是消化一个苹果的热量远远超过了苹果本身提供的热量。,下身,0,sometimes_euph
958,958,吴冠中的画淡雅、简洁，流畅的线条像五线谱，画仿佛是流淌出来的，每一勾一笔都富含哲理，一幅幅看下去有种安抚人心的力量；汪国真的诗则是激励，这种激励是平和的，不慷慨激昂却令人心神为之一振。  壹我不去想是否能够成功既然选择了远[PET_BOUNDARY]方便[PET_BOUNDARY]只顾风雨兼程 贰垂下的头颅只是为了让思想扬起你若有一个不屈的灵魂脚下就会有一片坚实的土地 叁没有比脚更长的路没有比人更高的山 肆天还未黑，云怎敢灰雨还未下，风怎敢吹瓜还未熟，秧怎敢枯花还未落，树怎敢死你还未嫁，我怎敢老 伍人生并非只有一处缤纷烂漫那凋零的是花——不是春天 陆河上没有桥，还可以等待结冰走过漫长的黑夜，便是黎明 柒不是我个性开朗其实我也有许多忧伤也有许多失眠的日子，吞噬着我生命从来不是只有辉煌我只是喜欢笑，喜欢空气新鲜又明亮我愿意像茶，把苦涩留在心底散发出来的都是清香 捌不必向我诉说春天我的心里并没有秋寒不必向我解释色彩我的眼里自有一片湛蓝我叹世事多变幻世事望我却依然 玖纵使黑夜吞噬了一切太阳还可以重新回来 拾我宁静，是为了让思想活跃我活泼，是为了让精神宁静 本文转载自微信公号耐思书店投稿邮箱：kaiwind123@sina.com一经采用支付丰厚稿酬我们在这里 · 静静等着你.,方便,0,sometimes_euph
289,289,擅长民族舞、爵士舞、现代舞、架子鼓和表演，多才多艺的她还经常参加一些走秀节目和模特比赛，取得了很多好成绩。  曾经获得2016国际旅游[PET_BOUNDARY]小姐[PET_BOUNDARY]大赛冠军，2016杭州新女神总冠军、2015国际时尚小姐浙江赛区总冠军等。  高艺蝶是一个白羊座女生，也是一个东北女生，性格就比较活泼，大大咧咧的。,小姐,0,sometimes_euph
935,935,对于加工大理石磨粉设备的生产厂家，石材磨粉机和微粉磨都是不错的选择，大理石矿石材料主要产于云南大理，大理石是石灰石或白云岩等接触区域变质作用下而形成的重晶石产物，矿物成为主要为方解石，遇到盐酸之后会生成气泡，具有等粒或不等粒的变晶结构，颗粒的粗细也都是不一样的。 大理石石材磨粉机是专业用于大理石的加工，大理石石材磨粉机具有独特的设计，与其他的磨粉机相比在同等的条件下产量可以提高20 - 30%左右，磨辊对物料的碾压力在高压弹簧的作用下提高了提高了1000KG，适应了当今行业发展的需求，石材磨粉机的除尘效果完全达到了国家粉尘的排放标准，分析机的调整也会更加的[PET_BOUNDARY]方便[PET_BOUNDARY]。 http: /  / www.clirik.org / qyxw / 773.htmlhttp: /  / www.021limo.com立式磨粉机 立式磨粉机厂家http: /  / www.shweifenmo.net / 方解石微粉磨 方解石磨粉机 石头磨粉机http: /  / www.shclirik.net /  矿石磨粉机 石灰石磨粉机 超细磨粉机,方便,0,sometimes_euph
889,889,【环球网综合报道】据韩联社6月19日消息，日本政府将于20日公布对承认日军强征[PET_BOUNDARY]慰安妇[PET_BOUNDARY]历史的《河野谈话》进行核查的结果。 而结果将直接影响今后的韩日关系。,慰安妇,1,always_euph
950,950,现如今喜欢用手机看小说的朋友特别多，可是由于PDF的广泛应用，网上下载的小说大多都是PDF格式的，放在手机上看又不[PET_BOUNDARY]方便[PET_BOUNDARY]，那可怎么办呢？ 现在，我们可以将PDF转换成EPUB格式。,方便,0,sometimes_euph
845,845,事件详情10月14日，当天晚间一则小视频在盐城人的微信朋友群瞬间火起来，视频中有多名女子在室内撕扯一男子，视频中人用标准的响水话指责男子是禽兽不如，对自己年仅9岁的女儿进行了[PET_BOUNDARY]性侵[PET_BOUNDARY]，怎么下的去手？ 要是 我女儿有个三长两短你就死定了。,性侵,1,always_euph
237,237,10月30日(周日)15:00，请你在武汉目前最高端的影城 - 武汉百丽宫(壹方店)看电影。  获奖名单：1、当地第一帅??（刘晟熙）2、三[PET_BOUNDARY]姨妈[PET_BOUNDARY]（马 芳）3、happy迪（孔乐迪）4、独孤剑（易 鸣）5、S小ssss（杨 莎）6、小瓷（刘 瑾）7、Hejing（何 菁）8、。 哆duo（马孙琪）9、超人回来了（童毅超）10、。,姨妈,0,sometimes_euph
