,ID,TEXT,PET,LABEL,EUPH_STATUS
743,744,"İZMİR DHA Lüks sedan aracın, Kuzey Amerika’da yılın otomobili seçildiği belirtiliyor. Yüksek teknoloji ürünü birçok sisteme sahip olduğu, V8 ve V6 motor seçenekleri bulunduğu ifade ediliyor. ""Türkiye’de inci [PET_BOUNDARY]siyahı[PET_BOUNDARY], inci beyazı ve metalik gri olmak üzere üç renkte satışa sunuldu"" deniliyor. Etiketler:",siyahi,0,sometimes_euph
927,928,"175900        Bu ayet, kadınların başlarında bulunan örtülerin uçlarının sırtlarına değil, [PET_BOUNDARY]göğüslerine[PET_BOUNDARY] sarkıtılarak, ziynet yerlerinin örtülmesini buyurmaktadır!",göğüs,0,sometimes_euph
1823,1824,"varmamız gerekirken 11'de terminale ancak varacağız. Ne konfor var ne saygı, firma 2010 yolunda kalmış gibi ilk ve [PET_BOUNDARY]son yolculuk[PET_BOUNDARY] yapışım olacak. ""Teşekkürler"" Yeni Sivas Turizm bugüne kadar marka profili oluşturmadı. Total Son dakika total",son yolculuk,0,sometimes_euph
601,602,"Rusya Parlamentosu Alt Meclisi Duma'da kabul edilen yasaya göre, Rus internet sitelerinde alkol reklamı yayınlanması yasaklanacak. Basın ve reklam şirketleri arasındaki anlaşmalar yıllık yapıldığı için, yasanın 1 Ocak 2013 tarihinde yürürlüğe girmesi planlanıyor. Yasaya karşı çıkan gruplar, alkol reklamlarının yabancı internet sitelerine kayacağını ve gelir [PET_BOUNDARY]kaybına[PET_BOUNDARY] yol açacağını savunuyor.",kaybetmek,0,sometimes_euph
403,404,ALLAH aşkına kaçımız sadece eşini aynı karede başka bir kadınla gördü diye  gidip [PET_BOUNDARY]hamileligini sonlandırmaya[PET_BOUNDARY] karar verdi.,hamileliği sonlandırmak,1,sometimes_euph
2426,2427,. Bu yolda taciz ve gönül kırmak bi kere kendi içinde yapılandırılmamışlığı ifade eder.çünkü islam iyi yönleri öne [PET_BOUNDARY]çıkarmak[PET_BOUNDARY] ve ve iyi yönleri geliştirmekle gerçek değerini bulur. Hizmetinin olmasını istersen önce sabırlı olmalısın,çıkarmak,0,sometimes_euph
2238,2239,"büyük bir parça bohçası hâlini alan o kadın kümesi içinde ihtiyar, orta yaşlı, büyük hanım, anne, hanım teyze, [PET_BOUNDARY]cici anne[PET_BOUNDARY], küçük hanım, dadı, bacı velhâsıl kibarca hanımefendilerden kenar mahalleninkilere kadar hepsi mevcuttu. Hava",cici anne,1,sometimes_euph
1820,1821,"olmak üzere pek çok psikopatolojiye yatkınlık göstermesi demektir. Cenaze töreni, kaybedileni uğurladığımız o [PET_BOUNDARY]son yolculuk[PET_BOUNDARY], yaslarımızı yaşayabilmek, birbirimizin acılarını hissedebilmek için açılan güvenli bir alan, kollektif",son yolculuk,1,sometimes_euph
560,561,"Afganistan'ın 215 Mayvand Kolordu Komutanı Tümgeneral Said Muluk, intihar eylemcisinin, Girişk ilçesine bağlı Haydarabad bölgesinde bulunan polis kampına, patlayıcı dolu arabası ile yaklaşarak saldırı düzenlediğini belirtti. Muluk, patlamada, 1 sivil ile bir polisin hayatını [PET_BOUNDARY]kaybettiğini[PET_BOUNDARY], 5 polisin yaralandığını söyledi.",kaybetmek,1,sometimes_euph
1775,1776,"olarak uluslararası döviz ticaretinde kullanılan ISO standardı 4217'ye (örneğin ""CHF"") göre standartlaştırılmış [PET_BOUNDARY]üç harfli[PET_BOUNDARY] bir kısaltma vardır . Döviz kuru Yurt dışından alışveriş yapabilmek için i. d. Genellikle yerel para birimini yabancı",üç harfli,0,sometimes_euph
