,ID,TEXT,PET,LABEL,EUPH_STATUS
6415,6415,Так вам сукні треба!!!йдіть <на концерт до Кобзона>.,На концерт до Кобзона,1,always_euph
1434,1434,"Пономарьов каже, що діти його змінили До речі, про сина Сашка співак може говорити годинами - для нього він <особлива дитина>.",особлива дитина,0,sometimes_euph
2027,2027,"""Більше про <бавовну> в Росії та на тимчасово окупованих територіях в тижневому огляді Еспресо. Цей тиждень приніс столиці Росії чергову серію ""бавовни"" через роботи невідомих безпілотників.""",бавовна,1,sometimes_euph
1392,1392,Маргарита (ім’я змінено) звернулась до Південного міжрегіонального управління Державної служби з питань праці за <допомогою у вирішенні питання> виплати заборгованої заробітної плати при звільненні.,допомога  у вирішенні питання,0,sometimes_euph
4173,4173,"«Нам прилетіло, бо про нас писали. Не пишіть, бо <прилетить>». Це усталене явище.",прилетіти,1,sometimes_euph
7011,7011,"я навіть трішки <втомився> в цій саме боротьбі, думаю, я почну публічно боротися з тими, хто дає можливість обходити ці санкції.",втомитися,0,sometimes_euph
5614,5614,"написав, що сьогодні сили ППО збили над областю повітряну <ціль> "".",ціль,1,sometimes_euph
2136,2136,"росія ціленаправлено чинить геноцид мирного українського населення, жорстоко нищить міста, цинічно кидає ракети, проводить незаконні референдуми, <дезінформує>, анексує території -  вони повинні відповісти за все",дезінформувати,1,sometimes_euph
2672,2672,"""Волонтерити і підіймати економіку можна і без	<дискотек>. Це не на часі.""",дискотека,0,sometimes_euph
1249,1249,"Нарешті спільну мову знайдено, неабияк прислужилася цьому <рідка валюта> з представницьких запасів капітана.",рідка валюта,1,sometimes_euph
1100,1100,"Зрештою, вилізли на пам'ятник та демонстративно справляли <природні потреби> на монумент, фіксуючи свої дії на камери мобільних телефонів.",природні потреби,1,always_euph
2140,2140,"Прийдуть хлопці з дівчатами з ЗСУ - ще й не те ""<віділлєш>"" і не факт, що з бронзи...",відлити,1,sometimes_euph
1736,1736,"Спеціальні окуляри, які імітують відчуття <«під мухою»>, мають стати профілактикою майбутніх ДТП.",під мухою,1,always_euph
6039,6039,Потроху розумнішають сусіди - війна <втомилася> і проситься додому.,втомитися,1,sometimes_euph
4859,4859,"до чого тут армійська служба, якщо людина пропонує їх відправляти на фронт. в них є військовий досвід? якщо ні, навіщо нам недосвідчена людина <на нулі>?

",нуль,1,sometimes_euph
4129,4129,<Двохсота> бригада стала двічі двохсотою в Україні! Слава ЗСУ!,двохсотий,0,sometimes_euph
