id,text,sentence,pet,label,category,euph_status,sub-category,pet_wordform,translation,year,notes,pun,label2,label3,notes2,source,lemma_count
1,"""Ми досягли <взаємовигідної угоди> "", - зазначив прем'єр.","""Ми досягли <взаємовигідної угоди> "", - зазначив прем'єр.",взаємовигідна угода,0,politics,sometimes_euph,corruption,взаємовигідної угоди,mutually beneficial deal,,,,,,,Grac v.18,13
4,"<Беріть винагороди> від кредитної картки Отримання кредитної картки, яка пропонує солідні винагороди під час покупки, допоможе вам заробити додаткові гроші без зусиль.","<Беріть винагороди> від кредитної картки Отримання кредитної картки, яка пропонує солідні винагороди під час покупки, допоможе вам заробити додаткові гроші без зусиль.",брати винагороду,0,politics,sometimes_euph,corruption,беріть винагороди,take rewards,,,,,,,Grac v.18,3
13,<Темна справа>. просто так не стріляють,<Темна справа>. просто так не стріляють,темна справа,0,politics,sometimes_euph,corruption,темна справа,mysterious situation,,,,,,,pawuk,2
17,«Вона маскувала продаж під виглядом « <благодійного внеску> »: пропонувала громадянам придбати спорядження за«спеціальною ціною» - 50 % від повної вартості.,«Вона маскувала продаж під виглядом « <благодійного внеску> »: пропонувала громадянам придбати спорядження за«спеціальною ціною» - 50 % від повної вартості.,благодійний внесок,0,politics,sometimes_euph,corruption,благодійного внеску,voluntary donation,,,,,,,Grac v.18,13
20,"15 червня до нього звернулися військовослужбовці Полтавського районного територіального центру комплектування та соціальної підтримки зі зверненням. У ньому військові просили депутата <допомоги у вирішенні питання> будівництва колумбарної стіни, яке планують використовувати для поховання полеглих захисників.","15 червня до нього звернулися військовослужбовці Полтавського районного територіального центру комплектування та соціальної підтримки зі зверненням. У ньому військові просили депутата <допомоги у вирішенні питання> будівництва колумбарної стіни, яке планують використовувати для поховання полеглих захисників.",допомога  у вирішенні питання,0,politics,sometimes_euph,corruption,допомоги у вирішенні питання,assistance in resolving the issue,,,,,,,pawuk,8
26,"А з ті, хто не підписав декларацію, платять символічно по 100 гривень <благодійного внеску> ”, – відмічає головний лікар.","А з ті, хто не підписав декларацію, платять символічно по 100 гривень <благодійного внеску> ”, – відмічає головний лікар.",благодійний внесок,0,politics,sometimes_euph,corruption,благодійного внеску,voluntary donation,,,,,,,Grac v.18,13
36,"А як місили ногами у ваганах глину і конячій навоз з половою , бо треба хату <підмазати>. Є що згадати.","А як місили ногами у ваганах глину і конячій навоз з половою , бо треба хату <підмазати>. Є що згадати.",підмазати,0,politics,sometimes_euph,corruption,підмазати,plaster,,,,,,,pawuk,6
41,"Адже наша країна залишається із закритими ""<соціальними ліфтами> "" в політиці, економіці та інших сферах.","Адже наша країна залишається із закритими ""<соціальними ліфтами> "" в політиці, економіці та інших сферах.",соціальний ліфт,0,politics,sometimes_euph,corruption,соціальними ліфтами,fair promotion mechanism,,,,,,,Grac v.18,8
46,"Анні Делві вдавалося відвідувати всі найкращі вечірки, бувати у всіх«потрібних» місцях, <мати знайомства> з відомими людьми, директорами, художниками чи, наприклад, актором Макколеєм Калкіним.","Анні Делві вдавалося відвідувати всі найкращі вечірки, бувати у всіх«потрібних» місцях, <мати знайомства> з відомими людьми, директорами, художниками чи, наприклад, актором Макколеєм Калкіним.",мати знайомство,0,politics,sometimes_euph,corruption,мати знайомства,have acquaintances,,,,,,,Grac v.18,7
48,"Ба більше, більшість найсильніших корпорацій планети починалася з <сімейного бізнесу>.","Ба більше, більшість найсильніших корпорацій планети починалася з <сімейного бізнесу>.",сімейний бізнес,0,politics,sometimes_euph,corruption,сімейного бізнесу,business,,,,,,,Grac v.18,7
50,"Багато, хто воював на Донбасі до повномасштабного вторгнення, а такі паразити-бюрократи-корупціонери гетьманцеви грабували їх <сімейний бізнес> в тилу.","Багато, хто воював на Донбасі до повномасштабного вторгнення, а такі паразити-бюрократи-корупціонери гетьманцеви грабували їх <сімейний бізнес> в тилу.",сімейний бізнес,0,politics,sometimes_euph,corruption,сімейний бізнес,family business,,,,,,,pawuk,7
54,"Біда в тому, що скрізь є умовності, щоб адекватна людина потрапила у владу має працювати <соціальний ліфт>.","Біда в тому, що скрізь є умовності, щоб адекватна людина потрапила у владу має працювати <соціальний ліфт>.",соціальний ліфт,0,politics,sometimes_euph,corruption,соціальний ліфт,fair promotion mechanism,,,,,,,pawuk,8
55,"Бідна дівчина, — пожалів подумки Борис продавщицю, — отака -то розплата за доброту. І наївність..Ну, нічого, переживе, завтра забіжу до неї, <занесу цукерки> .","Бідна дівчина, — пожалів подумки Борис продавщицю, — отака -то розплата за доброту. І наївність..Ну, нічого, переживе, завтра забіжу до неї, <занесу цукерки> .",занести цукерки,0,politics,sometimes_euph,corruption,занесу цукерки,bring some candies,,,,,,,Grac v.18,1
59,"Бо якщо учасників АТО в нас у Львові було близько 7 тисяч, то учасників війни з росією вже буде більше 35 тисяч. Це велика кількість людей, яким буде потрібна різна <допомога у вирішенні питань>, і треба мати всі можливості, аби максимально допомогти їм у цьому.","Бо якщо учасників АТО в нас у Львові було близько 7 тисяч, то учасників війни з росією вже буде більше 35 тисяч. Це велика кількість людей, яким буде потрібна різна <допомога у вирішенні питань>, і треба мати всі можливості, аби максимально допомогти їм у цьому.",допомога  у вирішенні питання,0,politics,sometimes_euph,corruption,допомога у вирішенні питань,assistance in resolving the issue,,,,,,,pawuk,8
65,"В моєї баби селі до Паски треба було хату побілити щороку ззовні та через рік всередині, а також <підмазати> околи (кути і фундамент).","В моєї баби селі до Паски треба було хату побілити щороку ззовні та через рік всередині, а також <підмазати> околи (кути і фундамент).",підмазати,0,politics,sometimes_euph,corruption,підмазати,plaster,,,,,,,pawuk,6
71,В результаті спільної роботи ми підписали ряд надзвичайно важливих і <взаємовигідних угод> між нашими країнами.,В результаті спільної роботи ми підписали ряд надзвичайно важливих і <взаємовигідних угод> між нашими країнами.,взаємовигідна угода,0,politics,sometimes_euph,corruption,взаємовигідних угод,mutually beneficial deal,,,,,,,Grac v.18,13
73,В Україні вдруге виплатили <винагороду за сприяння> у викритті корупції.,В Україні вдруге виплатили <винагороду за сприяння> у викритті корупції.,винагорода за сприяння,0,politics,sometimes_euph,corruption,винагороду за сприяння,a financial reward,,,,,,,https://www.stopcor.org/ukr/section-uanews/news-vinagoroda-za-vikrittya-koruptsii-nazk-viplatilo-majzhe-133-mln-grn-21-10-2024.html,4
76,Вдячний іспанській стороні за зусилля та готовність сприяти підписанню цієї довгоочікуваної та <взаємовигідної угоди> .,Вдячний іспанській стороні за зусилля та готовність сприяти підписанню цієї довгоочікуваної та <взаємовигідної угоди> .,взаємовигідна угода,0,politics,sometimes_euph,corruption,взаємовигідної угоди,mutually beneficial deal,,,,,,,Grac v.18,13
78,"Взяли участь у тендері чотири фірми. Найдорожче свої <послуги оцінила> волинська компанія«Західавтодор» — 4,30 млн грн.","Взяли участь у тендері чотири фірми. Найдорожче свої <послуги оцінила> волинська компанія«Західавтодор» — 4,30 млн грн.",послугу оцінити,0,politics,sometimes_euph,corruption,послуги оцінила,set the price for the services,,,,,,,Grac v.18,6
83,"Відома голівудська акторка Анджеліна Джолі, таємно продала частку <сімейного бізнесу> з виноробства російському олігарху.","Відома голівудська акторка Анджеліна Джолі, таємно продала частку <сімейного бізнесу> з виноробства російському олігарху.",сімейний бізнес,0,politics,sometimes_euph,corruption,сімейного бізнесу,family business,,,,,,,pawuk,7
84,"Він відвідував письменницькі збори, <мав знайомства> в літературних колах, проте ні з ким вони не переросли в тісні стосунки.","Він відвідував письменницькі збори, <мав знайомства> в літературних колах, проте ні з ким вони не переросли в тісні стосунки.",мати знайомство,0,politics,sometimes_euph,corruption,мав знайомства,have acquaintances,,,,,,,Grac v.18,7
85,"Він може ( 1 ) віддати конверт з документами листоноші відразу у той день, коли його отримав, ( 2 ) повідомити листоноші, коли він має забрати конверт, але не пізніше як за 2 робочі дні дня голосування, ( 3 ) віднести його у будь-яке поштове відділення ( за 3 робочі дні до дня голосування ) або поштове відділення у межах виборчої дільниці ( за 2 робочі дні до дня голосування ) і ( 4 ) особисто <занести конверт> дільничній виборчій комісії у день голосування.","Він може ( 1 ) віддати конверт з документами листоноші відразу у той день, коли його отримав, ( 2 ) повідомити листоноші, коли він має забрати конверт, але не пізніше як за 2 робочі дні дня голосування, ( 3 ) віднести його у будь-яке поштове відділення ( за 3 робочі дні до дня голосування ) або поштове відділення у межах виборчої дільниці ( за 2 робочі дні до дня голосування ) і ( 4 ) особисто <занести конверт> дільничній виборчій комісії у день голосування.",занести  конверт,0,politics,sometimes_euph,corruption,занести конверт,take the envelope to,,,,,,,Grac v.18,1
87,"Він підкреслив, що служба в армії є чи не єдиним <соціальним ліфтом> для людей, аби заробити грошей.","Він підкреслив, що служба в армії є чи не єдиним <соціальним ліфтом> для людей, аби заробити грошей.",соціальний ліфт,0,politics,sometimes_euph,corruption,соціальним ліфтом,fair promotion mechanism,,,,,,,pawuk,8
93,️Віталій Дудківський разом із дружиною вже понад десять років займаються  <сімейним бізнесом>.,️Віталій Дудківський разом із дружиною вже понад десять років займаються  <сімейним бізнесом>.,сімейний бізнес,0,politics,sometimes_euph,corruption,сімейним бізнесом,family business,,,,,,,pawuk,7
95,"Водночас, йдеться в повідомленні, адміністрація морських портів України оголосила тендер із обрання підрядника, який займеться підйомом танкера. <Послуги оцінили> майже в 25 мільйонів гривень — пізніше ці гроші планують стягнути з власника затонулого судна.","Водночас, йдеться в повідомленні, адміністрація морських портів України оголосила тендер із обрання підрядника, який займеться підйомом танкера. <Послуги оцінили> майже в 25 мільйонів гривень — пізніше ці гроші планують стягнути з власника затонулого судна.",послугу оцінити,0,politics,sometimes_euph,corruption,послуги оцінили,set the price for the services,,,,,,,Grac v.18,6
98,"Все, що було до цього, — дрібні ремонти: <підмазати> , підфарбувати. Сьогодні ми почали капітальний ремонт.","Все, що було до цього, — дрібні ремонти: <підмазати> , підфарбувати. Сьогодні ми почали капітальний ремонт.",підмазати,0,politics,sometimes_euph,corruption,підмазати,plaster,,,,,,,Grac v.18,6
105,"Голова ВРП Ігор Бенедисюк зазначив, що <прискорення процедури> дозволить судам заарештовувати суддів в межах передбачених Кримінальним процесуальним кодексом України трьох діб із моменту затримання.","Голова ВРП Ігор Бенедисюк зазначив, що <прискорення процедури> дозволить судам заарештовувати суддів в межах передбачених Кримінальним процесуальним кодексом України трьох діб із моменту затримання.",прискорення процедури,0,politics,sometimes_euph,corruption,прискорення процедури,legal facilitation,,,,,,,Grac v.18,8
110,"Готівку з жінок беруть під виглядом <благодійних внесків> із фіксованою сумою за обстеження, які закладу вже оплачує Національна служба здоров’я України (НСЗУ).","Готівку з жінок беруть під виглядом <благодійних внесків> із фіксованою сумою за обстеження, які закладу вже оплачує Національна служба здоров’я України (НСЗУ).",благодійний внесок,0,politics,sometimes_euph,corruption,благодійних внесків,voluntary donation,,,,,,,pawuk,13
114,"Державна податкова служба максимально відкрита для надання консультацій платникам податків, роз’яснень з питань податкового законодавства та <допомоги у вирішенні питань>, пов’язаних

із податками.","Державна податкова служба максимально відкрита для надання консультацій платникам податків, роз’яснень з питань податкового законодавства та <допомоги у вирішенні питань>, пов’язаних

із податками.",допомога  у вирішенні питання,0,politics,sometimes_euph,corruption,допомоги у вирішенні питань,assistance in resolving the issue,,,,,,,pawuk,8
120,"Для уникнення свого викриття, волонтерка давала підписувати відповідні акти, у яких зазначалося, що це не оплата за товар, а <благодійний внесок>.","Для уникнення свого викриття, волонтерка давала підписувати відповідні акти, у яких зазначалося, що це не оплата за товар, а <благодійний внесок>.",благодійний внесок,0,politics,sometimes_euph,corruption,благодійний внесок,voluntary donation,,,,,,,Grac v.18,13
124,"До речі, Тіна останнім часом носить переважно вбрання від ""LouisVuitton "". Схоже, зірка уклала з брендом якусь <взаємовигідну угоду>","До речі, Тіна останнім часом носить переважно вбрання від ""LouisVuitton "". Схоже, зірка уклала з брендом якусь <взаємовигідну угоду>",взаємовигідна угода,0,politics,sometimes_euph,corruption,взаємовигідну угоду,mutually beneficial deal,,,,,,,Grac v.18,13
128,"Дослідження, проведене Національним університетом Сінгапуру, показало, що більшість <сімейних бізнесів> зазнають невдачі внаслідок внутрішніх причин, а не зовнішніх.","Дослідження, проведене Національним університетом Сінгапуру, показало, що більшість <сімейних бізнесів> зазнають невдачі внаслідок внутрішніх причин, а не зовнішніх.",сімейний бізнес,0,politics,sometimes_euph,corruption,сімейних бізнесів,business,,,,,,,Grac v.18,7
138,"Є ще такий момент, що оголошують різні <винагороди за сприяння> правоохоронним органам.","Є ще такий момент, що оголошують різні <винагороди за сприяння> правоохоронним органам.",винагорода за сприяння,0,politics,sometimes_euph,corruption,винагороди за сприяння,a financial reward,,,,,,,Grac v.18,4
