id,text,sentence,pet,label,category,euph_status,sub-category,source,pet_wordform,left-hand context (one sentence),right-hand context (one sentence),literal_translation,non_euph_equivalent,non_euph_equivalent_translation
621,"- W pijackim widzie Wojciech D. wpadł na pomysł, by zostać alfonsem własnej
żony. Zamknął ją w mieszkaniu i przez tydzień nie dawał nic do jedzenia.","W pijackim widzie Wojciech D. wpadł na pomysł, by zostać alfonsem własnej
żony.",alfons,1,sexual activity,always_euph,,NKJP300,alfonsem,-,Zamknął ją w mieszkaniu i przez tydzień nie dawał nic do jedzenia.,a male name?,sutener,procurer
854,"– Udało mi się je zidentyfikować, dopiero kiedy wiedziałem, że to muszą być kobiety od Małego Maksia, a nie inne. A żeby do tego dojść, trzeba było wyłapać wszystkich alfonsów tego miasta. Nie można było tego ustalić w laboratorium.","A żeby do tego dojść, trzeba było wyłapać wszystkich alfonsów tego miasta.",alfons,1,sexual activity,always_euph,,NKJP300,alfonsów,"– Udało mi się je zidentyfikować, dopiero kiedy wiedziałem, że to muszą być kobiety od Małego Maksia, a nie inne.",Nie można było tego ustalić w laboratorium.,a male name?,sutener,procurer
1046,W takim razie za kogo ty tutaj robisz? Za alfonsa? – Nie powiesz jej?,Za alfonsa?,alfons,1,sexual activity,always_euph,,NKJP300,alfonsa,W takim razie za kogo ty tutaj robisz?,– Nie powiesz jej?,a male name?,sutener,procurer
4,"I nie na żarty przeraził człowieka, który bez mrugnięcia okiem ćwiartował swoje ofiary, po tym jak już obdarł je żywcem ze skóry. Żadna bowiem, nawet po wypatroszeniu, nie próbowała chodzić, powłócząc za sobą metrami jelit i innymi podrobami, jak robił to teraz wspomniany Jędrzej, zdun ze Świecia, który trafił za kratki za zabicie klientki. Zatłukł ją szamotką, ponieważ miał kaca, a że przepił już pobraną z góry zapłatę, brakowało mu na przysłowiowego klina…","Żadna bowiem, nawet po wypatroszeniu, nie próbowała chodzić, powłócząc za sobą metrami jelit i innymi podrobami, jak robił to teraz wspomniany Jędrzej, zdun ze Świecia, który trafił za kratki za zabicie klientki.",za kratkami,1,illegal activity,sometimes_euph,offenses,KWJP,za kratki,"I nie na żarty przeraził człowieka, który bez mrugnięcia okiem ćwiartował swoje ofiary, po tym jak już obdarł je żywcem ze skóry.","Zatłukł ją szamotką, ponieważ miał kaca, a że przepił już pobraną z góry zapłatę, brakowało mu na przysłowiowego klina…",behind the bars,w więzieniu,in prision
5,"I żeby nikt nie czuł się oszukany. Zwłaszcza że mieliśmy specyficzną sytuację, bo żona wzięła duży kredyt i pożyczyła te pieniądze koleżance, która ich nigdy nie oddała. Przez to zablokowano mi konta w firmie i możliwość płacenia kartami kredytowymi.","Zwłaszcza że mieliśmy specyficzną sytuację, bo żona wzięła duży kredyt i pożyczyła te pieniądze koleżance, która ich nigdy nie oddała.",nie oddać,1,illegal activity,sometimes_euph,offenses,KWJP,nie oddała,I żeby nikt nie czuł się oszukany.,Przez to zablokowano mi konta w firmie i możliwość płacenia kartami kredytowymi.,to not return,ukraść,to steal
1100,"Prowadzi do niego droga równoległa do brzegu, lekko pod górę, podczas której mija się odrapane osiedle niskich białych bloków, niemiecki supermarket i spadzistą łąkę, na której pasie się koń. Wśród koniczyn, mew i Manueli, Alfonsów, Beniciów, Dolores, Francisców, Antoniów, długowiecznych ludzi, którzy dożyli osiemdziesięciu siedmiu, dziewięćdziesięciu czterech albo pięciu lat, spoczęli na nim ci, których niebieskie litery na białych tablicach przedstawiają jako Inmigrante de Marruecos – imigrantów z Maroka. -","Wśród koniczyn, mew i Manueli, Alfonsów, Beniciów, Dolores, Francisców, Antoniów, długowiecznych ludzi, którzy dożyli osiemdziesięciu siedmiu, dziewięćdziesięciu czterech albo pięciu lat, spoczęli na nim ci, których niebieskie litery na białych tablicach przedstawiają jako Inmigrante de Marruecos – imigrantów z Maroka.",Alfonso,0,sexual activity,sometimes_euph,,KWJP,Alfonsów,"Prowadzi do niego droga równoległa do brzegu, lekko pod górę, podczas której mija się odrapane osiedle niskich białych bloków, niemiecki supermarket i spadzistą łąkę, na której pasie się koń.",-,Alfonso,-,-
1118,"Pierwszy dowód na to, że wirusom bliżej jednak do świata żywych, przedstawili Jean-Michel Claverie i jego współpracownicy z Université d’Aix-Marseille. W 2003 r. naukowcy opisali żerującego na amebach wirusa, który jest tak duży, że można go zobaczyć pod mikroskopem optycznym. Co prawda był on znany już w 1992 r., ale właśnie ze względu na swoje rozmiary został pomylony z... bakterią.","W 2003 r. naukowcy opisali żerującego na amebach wirusa, który jest tak duży, że można go zobaczyć pod mikroskopem optycznym.",ameba,0,physical/mental attributes,sometimes_euph,vice,KWJP,amebach,"Pierwszy dowód na to, że wirusom bliżej jednak do świata żywych, przedstawili Jean-Michel Claverie i jego współpracownicy z Université d’Aix-Marseille.","Co prawda był on znany już w 1992 r., ale właśnie ze względu na swoje rozmiary został pomylony z... bakterią.",amoeba,-,-
1199,"Mój kolega drugi oficer cierpiał już od połowy Oceanu Indyjskiego na ostre bóle żołądka. Lekarze we Fremantle uznali, że istnieje podejrzenie ameby, bo ostatnie lata pacjent spędzał w portach Dalekiego Wschodu. Zasugerowano długie badania laboratoryjne i pobyt w szpitalu, więc polski armator zdecydował, że drugi przesiądzie się (jako pasażer) na statek wracający do kraju, a asystent szkoleniowy Maciek zaokrętuje do nas w charakterze pełnego asystenta pokładowego.","Lekarze we Fremantle uznali, że istnieje podejrzenie ameby, bo ostatnie lata pacjent spędzał w portach Dalekiego Wschodu.",ameba,0,physical/mental attributes,sometimes_euph,vice,KWJP,ameby,Mój kolega drugi oficer cierpiał już od połowy Oceanu Indyjskiego na ostre bóle żołądka.,"Zasugerowano długie badania laboratoryjne i pobyt w szpitalu, więc polski armator zdecydował, że drugi przesiądzie się (jako pasażer) na statek wracający do kraju, a asystent szkoleniowy Maciek zaokrętuje do nas w charakterze pełnego asystenta pokładowego.",amoeba,-,-
1222,"Biedna Kaśka próbowała mnie jeszcze jakoś bronić, ale bez wsparcia – poległa. Ja w pewnym momencie całkowicie wyłączyłam słuch na te ameby umysłowe i maksymalnie skupiłam się na rywalce. Wbiłam w nią diabelski wzrok i krzyknęłam tak głośno, że przekrzyczałam lejdiski: – Mało ci, cholerna flądro?",Ja w pewnym momencie całkowicie wyłączyłam słuch na te ameby umysłowe i maksymalnie skupiłam się na rywalce.,ameba,1,physical/mental attributes,sometimes_euph,vice,KWJP,ameby,"Biedna Kaśka próbowała mnie jeszcze jakoś bronić, ale bez wsparcia – poległa.","Wbiłam w nią diabelski wzrok i krzyknęłam tak głośno, że przekrzyczałam lejdiski: – Mało ci, cholerna flądro?",amoeba,głupiec,fool
10,"Niemal co noc nachodziły go cudze myśli. Zjawiały się niczym duchy, by zabrać go do siebie. Nim się obejrzał, już tkwił w świecie równoległym, w interiorze zwanym umysłem.","Zjawiały się niczym duchy, by zabrać go do siebie.",zabrać,0,illegal activity,sometimes_euph,offenses,KWJP,zabrać,Niemal co noc nachodziły go cudze myśli.,"Nim się obejrzał, już tkwił w świecie równoległym, w interiorze zwanym umysłem.",to take,-,-
